"entity","label","start_char","end_char","source_url"
"AI","ORG","19","21","https://aiindex.stanford.edu/report/"
"AI","GPE","234","236","https://aiindex.stanford.edu/report/"
"HAI","ORG","430","433","https://aiindex.stanford.edu/report/"
"weekly","DATE","448","454","https://aiindex.stanford.edu/report/"
"the The New York Times","ORG","943","965","https://aiindex.stanford.edu/report/"
"Bloomberg","GPE","967","976","https://aiindex.stanford.edu/report/"
"Guardian","ORG","986","994","https://aiindex.stanford.edu/report/"
"the United States","GPE","1091","1108","https://aiindex.stanford.edu/report/"
"the United Kingdom","GPE","1110","1128","https://aiindex.stanford.edu/report/"
"the European Union","ORG","1134","1152","https://aiindex.stanford.edu/report/"
"year","DATE","1179","1183","https://aiindex.stanford.edu/report/"
"Stanford HAI","ORG","1762","1774","https://aiindex.stanford.edu/report/"
"Stanford HAI","PERSON","1876","1888","https://aiindex.stanford.edu/report/"
"annual","DATE","1972","1978","https://aiindex.stanford.edu/report/"
"the Global AI Vibrancy Tool","ORG","1991","2018","https://aiindex.stanford.edu/report/"
"2026","DATE","2046","2050","https://aiindex.stanford.edu/report/"
"April 13th","DATE","2077","2087","https://aiindex.stanford.edu/report/"
"the 21st century","DATE","2201","2217","https://aiindex.stanford.edu/report/"
"Stanford University","ORG","2925","2944","https://aiindex.stanford.edu/report/"
"the fall of 2019","DATE","2948","2964","https://aiindex.stanford.edu/report/"
"The Hague University of Applied Sciences","ORG","3400","3440","https://aiindex.stanford.edu/report/"
"Read Bio","PERSON","3580","3588","https://aiindex.stanford.edu/report/"
"HAI Executive","ORG","3735","3748","https://aiindex.stanford.edu/report/"
"Russell Wald","PERSON","3758","3770","https://aiindex.stanford.edu/report/"
"Wald","PERSON","3869","3873","https://aiindex.stanford.edu/report/"
"China","GPE","3923","3928","https://aiindex.stanford.edu/report/"
"Stanford HAI's","ORG","4038","4052","https://aiindex.stanford.edu/report/"
"2025","DATE","4053","4057","https://aiindex.stanford.edu/report/"
"Russ Altman","PERSON","4128","4139","https://aiindex.stanford.edu/report/"
"the Institute for Human-Centered Artificial Intelligence","ORG","4264","4320","https://aiindex.stanford.edu/report/"
"Vanessa Parli","PERSON","4322","4335","https://aiindex.stanford.edu/report/"
"Stanford","ORG","4337","4345","https://aiindex.stanford.edu/report/"
"Research","ORG","4362","4370","https://aiindex.stanford.edu/report/"
"AI Index Steering Committee","ORG","4375","4402","https://aiindex.stanford.edu/report/"
