relation,norm,symmetry_score,potential_inverse,inverse_similarity
http://example.org/ai-news/accompany,1.06,-1.0,http://example.org/ai-news/say,0.1512
http://example.org/ai-news/achieve,0.9783,-1.0,http://example.org/ai-news/update,0.1944
http://example.org/ai-news/allege,0.9898,-1.0,http://example.org/ai-news/take,0.1455
http://example.org/ai-news/analyze,1.0177,-1.0,http://example.org/ai-news/warn,0.1723
http://example.org/ai-news/announce,1.1479,-1.0,http://www.wikidata.org/prop/direct/P178,0.1396
http://example.org/ai-news/anticipate,1.045,-1.0,http://example.org/ai-news/warn,0.2178
http://example.org/ai-news/appear,1.0318,-1.0,http://example.org/ai-news/require,0.184
http://example.org/ai-news/ask,1.0777,-1.0,http://www.wikidata.org/prop/direct/P35,0.1955
http://example.org/ai-news/attract,1.0896,-1.0,http://example.org/ai-news/dig,0.1492
http://example.org/ai-news/be,1.1408,-1.0,http://example.org/ai-news/guide,0.2002
http://example.org/ai-news/beat,1.0961,-1.0,http://example.org/ai-news/explore,0.1772
http://example.org/ai-news/become,1.0517,-1.0,http://example.org/ai-news/call,0.1736
http://example.org/ai-news/believe,1.1619,-1.0,http://example.org/ai-news/look,0.1784
http://example.org/ai-news/build,1.0449,-1.0,http://example.org/ai-news/hear,0.1845
http://example.org/ai-news/call,1.1778,-1.0,http://example.org/ai-news/become,0.1736
http://example.org/ai-news/carry,1.0354,-1.0,http://example.org/ai-news/tap,0.1785
http://example.org/ai-news/chat,1.0125,-1.0,http://www.wikidata.org/prop/direct/P1056,0.1817
http://example.org/ai-news/cheer,1.0325,-1.0,http://www.wikidata.org/prop/direct/P1454,0.2375
http://example.org/ai-news/cite,1.0674,-1.0,http://example.org/ai-news/guide,0.1912
http://example.org/ai-news/coin,1.0261,-1.0,http://example.org/ai-news/tell,0.2489
http://example.org/ai-news/collaborate,1.0837,-1.0,http://www.wikidata.org/prop/direct/P800,0.1815
http://example.org/ai-news/come,1.1123,-1.0,http://example.org/ai-news/m,0.1662
http://example.org/ai-news/complain,1.1043,-1.0,http://example.org/ai-news/spread,0.1918
http://example.org/ai-news/conduct,1.1113,-1.0,http://example.org/ai-news/invest,0.1633
http://example.org/ai-news/consider,0.9213,-1.0,http://example.org/ai-news/license,0.1714
http://example.org/ai-news/cost,1.1055,-1.0,http://example.org/ai-news/create,0.192
http://example.org/ai-news/create,1.1943,-1.0,http://example.org/ai-news/cost,0.192
http://example.org/ai-news/develop,1.0246,-1.0,http://example.org/ai-news/m,0.1809
http://example.org/ai-news/dig,1.0626,-1.0,http://example.org/ai-news/attract,0.1492
http://example.org/ai-news/discuss,1.0467,-1.0,http://www.wikidata.org/prop/direct/P530,0.1855
http://example.org/ai-news/do,1.0415,-1.0,http://www.wikidata.org/prop/direct/P150,0.1566
http://example.org/ai-news/drop,1.053,-1.0,http://example.org/ai-news/warn,0.1987
http://example.org/ai-news/enable,1.032,-1.0,http://example.org/ai-news/write,0.1482
http://example.org/ai-news/enter,1.0171,-1.0,http://example.org/ai-news/steer,0.2117
http://example.org/ai-news/expect,1.0596,-1.0,http://example.org/ai-news/explore,0.2022
http://example.org/ai-news/explain,1.1206,-1.0,http://example.org/ai-news/require,0.1795
http://example.org/ai-news/explore,1.0757,-1.0,http://example.org/ai-news/expect,0.2022
http://example.org/ai-news/express,1.0515,-1.0,http://example.org/ai-news/writer,0.1561
http://example.org/ai-news/feature,1.046,-1.0,http://www.wikidata.org/prop/direct/P137,0.206
http://example.org/ai-news/find,1.138,-1.0,http://example.org/ai-news/tap,0.1661
http://example.org/ai-news/flood,1.0573,-1.0,http://example.org/ai-news/get,0.2181
http://example.org/ai-news/generate,1.0235,-1.0,http://www.wikidata.org/prop/direct/P530,0.1216
http://example.org/ai-news/get,1.1339,-1.0,http://example.org/ai-news/flood,0.2181
http://example.org/ai-news/give,1.1513,-1.0,http://www.wikidata.org/prop/direct/P150,0.1672
http://example.org/ai-news/go,1.0891,-1.0,http://www.wikidata.org/prop/direct/P47,0.1625
http://example.org/ai-news/guide,0.9927,-1.0,http://example.org/ai-news/be,0.2002
http://example.org/ai-news/halt,1.0583,-1.0,http://example.org/ai-news/license,0.1662
http://example.org/ai-news/have,1.1623,-1.0,http://example.org/ai-news/tap,0.213
http://example.org/ai-news/hear,1.0793,-1.0,http://example.org/ai-news/build,0.1845
http://example.org/ai-news/incentivize,1.0462,-1.0,http://www.wikidata.org/prop/direct/P2283,0.2031
http://example.org/ai-news/include,1.1125,-1.0,http://example.org/ai-news/measure,0.1443
http://example.org/ai-news/introduce,1.0191,-1.0,http://example.org/ai-news/join,0.2254
http://example.org/ai-news/invest,1.1233,-1.0,http://example.org/ai-news/cost,0.18
http://example.org/ai-news/join,1.0467,-1.0,http://example.org/ai-news/introduce,0.2254
http://example.org/ai-news/lead,1.0909,-1.0,http://www.wikidata.org/prop/direct/P1454,0.1533
http://example.org/ai-news/let,1.0485,-1.0,http://example.org/ai-news/test,0.1959
http://example.org/ai-news/license,1.0523,-1.0,http://example.org/ai-news/consider,0.1714
http://example.org/ai-news/look,1.0268,-1.0,http://example.org/ai-news/believe,0.1784
http://example.org/ai-news/m,1.015,-1.0,http://example.org/ai-news/develop,0.1809
http://example.org/ai-news/make,1.2306,-1.0,http://example.org/ai-news/become,0.1653
http://example.org/ai-news/measure,1.0255,-1.0,http://example.org/ai-news/complain,0.1868
http://example.org/ai-news/mention,1.0131,-1.0,http://example.org/ai-news/update,0.2072
http://example.org/ai-news/note,1.1417,-1.0,http://www.wikidata.org/prop/direct/P17,0.1341
http://example.org/ai-news/outperform,1.0376,-1.0,http://www.wikidata.org/prop/direct/P452,0.1788
http://example.org/ai-news/pass,1.1232,-1.0,http://example.org/ai-news/become,0.1516
http://example.org/ai-news/pioneer,1.0429,-1.0,http://example.org/ai-news/start,0.1628
http://example.org/ai-news/place,1.0513,-1.0,http://example.org/ai-news/incentivize,0.1299
http://example.org/ai-news/pop,1.0413,-1.0,http://www.wikidata.org/prop/direct/P452,0.199
http://example.org/ai-news/pronounce,1.016,-1.0,http://example.org/ai-news/test,0.1554
http://example.org/ai-news/provide,1.0249,-1.0,http://example.org/ai-news/release,0.1571
http://example.org/ai-news/publish,1.2047,-1.0,http://example.org/ai-news/put,0.2236
http://example.org/ai-news/put,1.0814,-1.0,http://example.org/ai-news/publish,0.2236
http://example.org/ai-news/read,1.0655,-1.0,http://example.org/ai-news/reveal,0.1743
http://example.org/ai-news/relatedTo,1.0605,-1.0,http://example.org/ai-news/related_to,0.188
http://example.org/ai-news/related_to,0.9975,-1.0,http://example.org/ai-news/relatedTo,0.188
http://example.org/ai-news/release,1.1001,-1.0,http://www.wikidata.org/prop/direct/P800,0.1692
http://example.org/ai-news/rename,1.0146,-1.0,http://www.wikidata.org/prop/direct/P452,0.1829
http://example.org/ai-news/report,1.1422,-1.0,http://example.org/ai-news/feature,0.1896
http://example.org/ai-news/require,1.0909,-1.0,http://example.org/ai-news/appear,0.184
http://example.org/ai-news/reveal,1.0359,-1.0,http://example.org/ai-news/read,0.1743
http://example.org/ai-news/s,1.0456,-1.0,http://example.org/ai-news/hear,0.175
http://example.org/ai-news/say,0.993,-1.0,http://example.org/ai-news/get,0.1665
http://example.org/ai-news/see,1.1039,-1.0,http://example.org/ai-news/show,0.149
http://example.org/ai-news/show,1.1214,-1.0,http://example.org/ai-news/star,0.1772
http://example.org/ai-news/spotify,1.0734,-1.0,http://www.wikidata.org/prop/direct/P452,0.1717
http://example.org/ai-news/spread,1.0798,-1.0,http://example.org/ai-news/complain,0.1918
