relation_1,relation_2,composed_closest,cosine_similarity
http://example.org/ai-news/accompany,http://example.org/ai-news/achieve,http://example.org/ai-news/accompany,0.7113
http://example.org/ai-news/accompany,http://example.org/ai-news/analyze,http://example.org/ai-news/accompany,0.7321
http://example.org/ai-news/accompany,http://example.org/ai-news/announce,http://example.org/ai-news/announce,0.7445
http://example.org/ai-news/accompany,http://example.org/ai-news/appear,http://example.org/ai-news/accompany,0.7095
http://example.org/ai-news/accompany,http://example.org/ai-news/ask,http://example.org/ai-news/ask,0.7254
http://example.org/ai-news/accompany,http://example.org/ai-news/attract,http://example.org/ai-news/attract,0.731
http://example.org/ai-news/accompany,http://example.org/ai-news/be,http://example.org/ai-news/be,0.7115
http://example.org/ai-news/accompany,http://example.org/ai-news/beat,http://example.org/ai-news/beat,0.7167
http://example.org/ai-news/accompany,http://example.org/ai-news/become,http://example.org/ai-news/accompany,0.7132
http://example.org/ai-news/accompany,http://example.org/ai-news/believe,http://example.org/ai-news/believe,0.7234
http://example.org/ai-news/accompany,http://example.org/ai-news/build,http://example.org/ai-news/accompany,0.7185
http://example.org/ai-news/accompany,http://example.org/ai-news/call,http://example.org/ai-news/call,0.7462
http://example.org/ai-news/accompany,http://example.org/ai-news/cheer,http://example.org/ai-news/accompany,0.7293
http://example.org/ai-news/accompany,http://example.org/ai-news/cite,http://example.org/ai-news/cite,0.7133
http://example.org/ai-news/accompany,http://example.org/ai-news/coin,http://example.org/ai-news/accompany,0.718
http://example.org/ai-news/accompany,http://example.org/ai-news/come,http://example.org/ai-news/come,0.722
http://example.org/ai-news/accompany,http://example.org/ai-news/conduct,http://example.org/ai-news/conduct,0.7392
http://example.org/ai-news/accompany,http://example.org/ai-news/consider,http://example.org/ai-news/accompany,0.7766
http://example.org/ai-news/accompany,http://example.org/ai-news/cost,http://example.org/ai-news/cost,0.7257
http://example.org/ai-news/accompany,http://example.org/ai-news/create,http://example.org/ai-news/create,0.7546
http://example.org/ai-news/accompany,http://example.org/ai-news/dig,http://example.org/ai-news/dig,0.7377
http://example.org/ai-news/accompany,http://example.org/ai-news/do,http://example.org/ai-news/accompany,0.7092
http://example.org/ai-news/accompany,http://example.org/ai-news/enter,http://example.org/ai-news/accompany,0.7484
http://example.org/ai-news/accompany,http://example.org/ai-news/explain,http://example.org/ai-news/explain,0.7597
http://example.org/ai-news/accompany,http://example.org/ai-news/explore,http://example.org/ai-news/explore,0.7561
http://example.org/ai-news/accompany,http://example.org/ai-news/express,http://example.org/ai-news/accompany,0.7009
http://example.org/ai-news/accompany,http://example.org/ai-news/find,http://example.org/ai-news/find,0.738
http://example.org/ai-news/accompany,http://example.org/ai-news/generate,http://example.org/ai-news/accompany,0.7202
http://example.org/ai-news/accompany,http://example.org/ai-news/get,http://example.org/ai-news/get,0.7723
http://example.org/ai-news/accompany,http://example.org/ai-news/give,http://example.org/ai-news/give,0.744
http://example.org/ai-news/accompany,http://example.org/ai-news/go,http://example.org/ai-news/go,0.7249
http://example.org/ai-news/accompany,http://example.org/ai-news/guide,http://example.org/ai-news/accompany,0.7099
http://example.org/ai-news/accompany,http://example.org/ai-news/halt,http://example.org/ai-news/accompany,0.7386
http://example.org/ai-news/accompany,http://example.org/ai-news/have,http://example.org/ai-news/have,0.7061
http://example.org/ai-news/accompany,http://example.org/ai-news/hear,http://example.org/ai-news/hear,0.7174
http://example.org/ai-news/achieve,http://example.org/ai-news/allege,http://example.org/ai-news/allege,0.7014
http://example.org/ai-news/achieve,http://example.org/ai-news/analyze,http://example.org/ai-news/analyze,0.7235
http://example.org/ai-news/achieve,http://example.org/ai-news/announce,http://example.org/ai-news/announce,0.7514
http://example.org/ai-news/achieve,http://example.org/ai-news/anticipate,http://example.org/ai-news/anticipate,0.7465
http://example.org/ai-news/achieve,http://example.org/ai-news/appear,http://example.org/ai-news/appear,0.7204
http://example.org/ai-news/achieve,http://example.org/ai-news/ask,http://example.org/ai-news/ask,0.7828
http://example.org/ai-news/achieve,http://example.org/ai-news/attract,http://example.org/ai-news/attract,0.7349
http://example.org/ai-news/achieve,http://example.org/ai-news/be,http://example.org/ai-news/be,0.7495
http://example.org/ai-news/achieve,http://example.org/ai-news/beat,http://example.org/ai-news/beat,0.7569
http://example.org/ai-news/achieve,http://example.org/ai-news/become,http://example.org/ai-news/become,0.7246
http://example.org/ai-news/achieve,http://example.org/ai-news/believe,http://example.org/ai-news/believe,0.7533
http://example.org/ai-news/achieve,http://example.org/ai-news/build,http://example.org/ai-news/build,0.7236
http://example.org/ai-news/achieve,http://example.org/ai-news/call,http://example.org/ai-news/call,0.7546
http://example.org/ai-news/achieve,http://example.org/ai-news/carry,http://example.org/ai-news/carry,0.748
http://example.org/ai-news/achieve,http://example.org/ai-news/chat,http://example.org/ai-news/chat,0.7377
http://example.org/ai-news/achieve,http://example.org/ai-news/cheer,http://example.org/ai-news/cheer,0.7436
http://example.org/ai-news/achieve,http://example.org/ai-news/cite,http://example.org/ai-news/cite,0.7083
http://example.org/ai-news/achieve,http://example.org/ai-news/coin,http://example.org/ai-news/coin,0.7249
http://example.org/ai-news/achieve,http://example.org/ai-news/collaborate,http://example.org/ai-news/collaborate,0.7401
http://example.org/ai-news/achieve,http://example.org/ai-news/come,http://example.org/ai-news/come,0.7394
http://example.org/ai-news/achieve,http://example.org/ai-news/complain,http://example.org/ai-news/complain,0.7478
http://example.org/ai-news/achieve,http://example.org/ai-news/conduct,http://example.org/ai-news/conduct,0.7336
http://example.org/ai-news/achieve,http://example.org/ai-news/consider,http://example.org/ai-news/achieve,0.7137
http://example.org/ai-news/achieve,http://example.org/ai-news/cost,http://example.org/ai-news/cost,0.77
http://example.org/ai-news/achieve,http://example.org/ai-news/create,http://example.org/ai-news/create,0.7866
http://example.org/ai-news/achieve,http://example.org/ai-news/develop,http://example.org/ai-news/develop,0.7367
http://example.org/ai-news/achieve,http://example.org/ai-news/dig,http://example.org/ai-news/dig,0.7173
http://example.org/ai-news/achieve,http://example.org/ai-news/discuss,http://example.org/ai-news/discuss,0.745
http://example.org/ai-news/achieve,http://example.org/ai-news/do,http://example.org/ai-news/do,0.7513
http://example.org/ai-news/achieve,http://example.org/ai-news/drop,http://example.org/ai-news/drop,0.7618
http://example.org/ai-news/achieve,http://example.org/ai-news/enable,http://example.org/ai-news/enable,0.7544
http://example.org/ai-news/achieve,http://example.org/ai-news/enter,http://example.org/ai-news/enter,0.7237
http://example.org/ai-news/achieve,http://example.org/ai-news/expect,http://example.org/ai-news/expect,0.7192
http://example.org/ai-news/achieve,http://example.org/ai-news/explain,http://example.org/ai-news/explain,0.7574
http://example.org/ai-news/achieve,http://example.org/ai-news/explore,http://example.org/ai-news/explore,0.7109
http://example.org/ai-news/achieve,http://example.org/ai-news/express,http://example.org/ai-news/express,0.7389
http://example.org/ai-news/achieve,http://example.org/ai-news/feature,http://example.org/ai-news/feature,0.7239
http://example.org/ai-news/achieve,http://example.org/ai-news/find,http://example.org/ai-news/find,0.7659
http://example.org/ai-news/achieve,http://example.org/ai-news/flood,http://example.org/ai-news/flood,0.7432
http://example.org/ai-news/achieve,http://example.org/ai-news/generate,http://example.org/ai-news/generate,0.7154
http://example.org/ai-news/achieve,http://example.org/ai-news/get,http://example.org/ai-news/get,0.7561
http://example.org/ai-news/achieve,http://example.org/ai-news/give,http://example.org/ai-news/give,0.7852
http://example.org/ai-news/achieve,http://example.org/ai-news/go,http://example.org/ai-news/go,0.7534
http://example.org/ai-news/achieve,http://example.org/ai-news/halt,http://example.org/ai-news/halt,0.7072
http://example.org/ai-news/achieve,http://example.org/ai-news/have,http://example.org/ai-news/have,0.7336
http://example.org/ai-news/achieve,http://example.org/ai-news/hear,http://example.org/ai-news/hear,0.7469
