entity,spacy_label,wikidata_id,wikidata_label,wikidata_description,confidence,matched
AI,ORG,Q96184770,Ai,given name,1.0,True
AI,GPE,Q96184770,Ai,given name,1.0,True
HAI,ORG,Q64210820,Hai,family name,1.0,True
weekly,DATE,Q23387,week,unit of time,0.8,True
the The New York Times,ORG,,,,0.0,False
Bloomberg,GPE,Q22339051,Bloomberg,family name,1.0,True
Guardian,ORG,Q5614024,Guardian,1994 3D shoot 'em up video game,1.0,True
the United States,GPE,Q30,United States,country located primarily in North America,0.867,True
the United Kingdom,GPE,Q145,United Kingdom,island country in north-west Europe,0.875,True
the European Union,ORG,Q136183968,The European Union,book 2008,1.0,True
year,DATE,Q577,year,the orbital period of the Earth: the estimated period of time for the Earth's orbit around the Sun and observed at a fixed geographic point (averaging 365.24 days); base later modified to define or adjust various calendars,1.0,True
Stanford HAI,ORG,,,,0.281,False
Stanford HAI,PERSON,,,,0.281,False
annual,DATE,,,,0.667,False
the Global AI Vibrancy Tool,ORG,,,,0.0,False
2026,DATE,Q49613,2026,current calendar year,1.0,True
April 13th,DATE,Q76062045,April 13th,instrumental composed by Sai Ye Htet Kaung,1.0,True
the 21st century,DATE,Q12740585,The 21st Century,Romanian magazine,1.0,True
Stanford University,ORG,Q41506,Stanford University,"private research university in Stanford, California, USA",1.0,True
the fall of 2019,DATE,,,,0.0,False
The Hague University of Applied Sciences,ORG,Q2693497,The Hague University of Applied Sciences,university in the Netherlands,1.0,True
Read Bio,PERSON,,,,0.0,False
HAI Executive,ORG,,,,0.0,False
Russell Wald,PERSON,Q125296965,Russell Walden,author,0.923,True
Wald,PERSON,Q67272,Wald,"municipality in the canton of Zürich, Switzerland",1.0,True
China,GPE,Q29520,China,"cultural region, ancient civilization, and nation in East Asia; mostly refers to the People's Republic of China in political situation and rarely refers to the Republic of China",1.0,True
Stanford HAI's,ORG,,,,0.0,False
2025,DATE,Q49616,2025,calendar year,1.0,True
Russ Altman,PERSON,Q7381092,Russ Altman,American biomedical scientist and academic,1.0,True
the Institute for Human-Centered Artificial Intelligence,ORG,,,,0.0,False
Vanessa Parli,PERSON,,,,0.0,False
Stanford,ORG,Q173813,Stanford,"census-designated place in Santa Clara County, California, United States",1.0,True
Research,ORG,Q42240,research,systematic study undertaken to increase knowledge,1.0,True
AI Index Steering Committee,ORG,,,,0.0,False
ETA,ORG,Q28822161,Eta,female given name,1.0,True
TikTok,ORG,Q48938223,TikTok,video-focused social media platform,1.0,True
Generative AI,PERSON,,,,0.684,False
trillions of dollars,MONEY,,,,0.0,False
5+ years ago,DATE,,,,0.0,False
2015-Today,DATE,,,,0.0,False
Google Research (Attention,ORG,,,,0.0,False
Between 2015 and 2020,DATE,,,,0.0,False
OpenAI’s GPT-3,ORG,,,,0.0,False
GPU,ORG,,,,0.3,False
2022+),DATE,,,,0.0,False
a decade ago,DATE,,,,0.0,False
Today,DATE,Q3530234,Today,album by Galaxie 500,1.0,True
GitHub CoPilot,ORG,Q107435063,GitHub Copilot,artificial intelligence tool for code autocompletion,1.0,True
Twitter,PERSON,Q1390577,Twitter,defunct American social media company,1.0,True
Siri,PERSON,Q1772342,Siri,female given name,1.0,True
3D,ORG,Q108276326,3D,periodical about computer graphics,1.0,True
Midjourney,PERSON,Q113070628,Midjourney,AI art generator,1.0,True
GPT-3,ORG,Q95726734,GPT-3,2020 transformer-based large language model,1.0,True
Stable Diffusion,ORG,Q113660857,Stable Diffusion,image-generating machine learning model,1.0,True
UI,ORG,,,,0.25,False
IDE,ORG,Q2073462,Ide,"village in Devon, England, UK",1.0,True
Figma,ORG,Q96186334,Figma,online vector graphics editor and prototyping tool,1.0,True
Photoshop,PRODUCT,Q112842583,photoshopping,,0.818,True
Discord,ORG,Q22907849,Discord,instant messaging and VoIP software,1.0,True
Jasper,GPE,Q1665973,Jasper,male given name,1.0,True
Runway,ORG,Q184590,runway,area of surface used by aircraft to takeoff from and land on,1.0,True
Mem,PERSON,Q108271743,Mem,family name,1.0,True
"Hurdles and Risks
Despite Generative AI’s",ORG,,,,0.0,False
decades,DATE,Q47092195,Decades,2018 compilation album by Nightwish,1.0,True
Pixar,ORG,Q127552,Pixar,American computer animation studio,1.0,True
Roblox,PERSON,Q692989,Roblox,multiplayer game creation platform,1.0,True
several years,DATE,,,,0.394,False
Call for Startups,ORG,,,,0.0,False
Arc,PERSON,,,,0.6,False
Arc America Fall,ORG,,,,0.0,False
SO MUCH FUN,ORG,Q74039961,So Much Fun,2019 studio album by Young Thug,1.0,True
2024,DATE,Q49619,2024,calendar year,1.0,True
this year,DATE,Q124160258,This Year,2020 single written and composed by Sir Shina Peters,1.0,True
MIT Technology Review’s,ORG,,,,0.41,False
last year,DATE,Q122354104,Last Year,2019 video game,1.0,True
2023,DATE,Q49622,2023,calendar year,1.0,True
OpenAI,PERSON,Q21708200,OpenAI,American artificial intelligence research organization,1.0,True
Biden,PERSON,Q20164199,Biden,family name,1.0,True
October,DATE,Q124,October,tenth month in the Julian and Gregorian calendars,1.0,True
the European Union’s AI Act,ORG,,,,0.0,False
December,DATE,Q126,December,twelfth month in the Julian and Gregorian calendars,1.0,True
Big Tech,ORG,Q3122864,Big Tech,label for large technology companies,1.0,True
OpenAI,ORG,Q21708200,OpenAI,American artificial intelligence research organization,1.0,True
Google DeepMind,ORG,Q15733006,Google DeepMind,artificial intelligence company owned by Google,1.0,True
the AI revolution,EVENT,Q123517396,The AI revolution in science,,0.756,True
some years,DATE,,,,0.426,False
years,DATE,Q109595491,YEARS,2014 studio album by CHEESE CAKE,1.0,True
next year,DATE,Q3136614,Next Year,2000 single by Foo Fighters,1.0,True
Google,ORG,Q95,Google,"American multinational technology company, a subsidiary of Alphabet Inc.",1.0,True
OpenAI,GPE,Q21708200,OpenAI,American artificial intelligence research organization,1.0,True
GPT-4,PERSON,Q116709136,GPT-4,OpenAI multimodal large language model,1.0,True
Gemini,GPE,Q8923,Gemini,zodiac constellation in the northern hemisphere,1.0,True
"Melissa Heikkilä
2",PERSON,,,,0.0,False
2022,DATE,Q49625,2022,year,1.0,True
Adobe’s Firefly,ORG,,,,0.0,False
Balenciaga,GPE,Q1530892,Balenciaga,French fashion house and company,1.0,True
A year ago,DATE,,,,0.667,False
Stable Diffusion,PRODUCT,Q113660857,Stable Diffusion,image-generating machine learning model,1.0,True
every few months,DATE,,,,0.0,False
Pixar,PERSON,Q127552,Pixar,American computer animation studio,1.0,True
"60,000",MONEY,Q3271915,60000,number,0.727,True
New York,GPE,Q1384,New York,state of the United States of America,1.0,True
Los Angeles,GPE,Q65,Los Angeles,"seat of Los Angeles County, and largest city in California, United States",1.0,True
Paramount,ORG,Q927134,Paramount,"city in Los Angeles County, California, United States",1.0,True
Disney,ORG,Q3260264,Disney,"town in Mayes County, Oklahoma, USA",1.0,True
Indiana Jones,ORG,Q2562640,Indiana Jones,entertainment franchise originating in the 1980s,1.0,True
Harrison Ford,PERSON,Q81328,Harrison Ford,American actor (born 1942),1.0,True
UK,GPE,,,,0.444,False
Synthesia,ORG,Q18112226,Synthesia,genus of insects,1.0,True
SAG,ORG,Q33954,Sango,Ngbandi-based creole of the Central African Republic,0.75,True
Souki Mehdaoui,PERSON,,,,0.0,False
Bell & Whistle,ORG,,,,0.0,False
Argentina,GPE,Q414,Argentina,country in South America,1.0,True
Slovakia,GPE,Q214,Slovakia,country in Central Europe,1.0,True
pro-European,NORP,Q3781399,pro-Europeanism,favoring European integration,0.889,True
US,GPE,,,,0.267,False
Donald Trump,PERSON,Q22686,Donald Trump,President of the United States (2017–2021; since 2025),1.0,True
Just a few years ago,DATE,,,,0.0,False
Israel,GPE,Q801,Israel,country in West Asia,1.0,True
Adobe’s,ORG,Q11463,Adobe,American multinational computer software company,0.833,True
The coming year,DATE,,,,0.517,False
early days,DATE,Q15807071,Early Days,album by Krokus,1.0,True
Google DeepMind’s,PRODUCT,,,,0.4,False
"Melissa Heikkilä
4
Robots",PERSON,,,,0.0,False
The last few years,DATE,Q107536241,The Last Few Years,scientific article,1.0,True
OpenAI’s,ORG,,,,0.333,False
June,DATE,Q1152453,June,unisex given name,1.0,True
DeepMind,PERSON,Q123397963,DeepMind Fonts,open-source typeface superfamily,0.727,True
last year’s Gato,DATE,,,,0.0,False
RT-X,PRODUCT,,,,0.0,False
"the University of California, Berkeley",ORG,Q5870629,"history of the University of California, Berkeley",aspect of history,0.874,True
Lerrel Pinto,PERSON,Q135241926,Lerrel Pinto,,1.0,True
New York University,ORG,Q49210,New York University,private university in New York City,1.0,True
Pinto,ORG,Q10276290,Pinto,"railway station in Pinto, Spain",1.0,True
the last couple of years,DATE,,,,0.0,False
